date,fr_gb,gb_fr,fr_cwe,cwe_fr,fr_ch,ch_fr,fr_it,it_fr,fr_es,es_fr,export_france,import_france
2005-03-06,1785.0,0.0,1826.0,-6829.0,2921.0,-1333.0,2107.0,-380.0,524.0,-92.0,9163.0,-8634.0
2010-12-17,843.0,-855.0,398.0,-2541.0,3524.0,-1146.0,1685.0,-195.0,2.0,-632.0,6452.0,-5369.0
2019-11-03,2000.0,-633.0,1379.0,-734.4,1973.7,-76.0,2241.0,0.0,0.0,-2400.0,7593.0,-3843.0
2010-12-18,907.0,-1036.0,970.0,-3687.0,3425.0,-903.0,1477.0,-170.0,2.0,-732.0,6781.0,-6528.0
2005-03-07,322.0,-613.0,1795.0,-4455.0,3026.0,-948.0,2213.0,-433.0,504.0,-604.0,7860.0,-7053.0
2019-11-04,2000.0,-296.0,2563.45,-19.1,2292.0,-376.0,968.0,-28.0,0.0,-2250.0,7823.0,-2969.0
2010-12-19,1392.0,-1147.34,64.0,-4495.0,3427.0,-255.0,2431.0,-55.0,322.0,-517.0,7636.0,-6469.34
2010-12-20,1464.167,-1215.0,1227.0,-2960.0,2867.0,-2012.0,2266.0,-865.0,3.0,-612.0,7827.1669999999995,-7664.0
2019-11-05,237.0,-1257.0,1218.35,-1202.6,992.0,-350.4,2637.0,-150.0,0.0,-1800.0,5084.0,-4759.0
2005-03-08,100.0,-1401.0,1713.0,-4759.0,2997.0,-770.0,2213.0,-353.0,504.0,-355.0,7527.0,-7638.0
2019-11-06,2000.0,0.0,494.0,-2691.4,1596.5,-693.6,2126.0,0.0,0.0,-471.7,6216.0,-3855.0
2010-12-21,1482.0,-584.0,2120.0,-1289.0,3020.0,-3293.0,1689.0,-1228.0,3.0,-612.0,8314.0,-7006.0
2019-11-07,2000.0,-238.0,4454.1,-478.3,1901.3,-20.9,2041.0,0.0,342.5,-1256.6,10738.0,-1992.0
2010-12-22,1565.0,-433.458,587.0,-3135.0,3424.0,-724.0,1397.0,-395.0,2.0,-632.0,6975.0,-5319.4580000000005
